Date,Team1,Team2,Score,Map,Event,Series
9-1-19,"['Endpoint', 'Thomas', 'stan1ey', 'MiGHTYMAX', 'Puls3', 'Luzuh']","['HAVU', 'zehN', 'Twixie', 'disturbed', 'ZOREE', 'sAw']","['16', '5']",Cache,ESEA MDL Season 29 Europe Relegation,8282
9-1-19,"['x6tence Galaxy', 'ZINKEN', 'nawwk', 'Bååten', 'Plopski', 'BARBARR']","['unknown', 'Ryxxo', 'fr0slev', 'netrick', 'dfen', 'doktizh']","['16', '3']",Cache,ESEA MDL Season 29 Europe Relegation,8281
9-1-19,"['x6tence Galaxy', 'BARBARR', 'nawwk', 'Bååten', 'ZINKEN', 'Plopski']","['unknown', 'doktizh', 'fr0slev', 'netrick', 'dfen', 'Ryxxo']","['7', '16']",Overpass,ESEA MDL Season 29 Europe Relegation,8281
9-1-19,"['x6tence Galaxy', 'Bååten', 'BARBARR', 'Plopski', 'ZINKEN', 'nawwk']","['Valiance', 'huNter-', 'ottoNd', 'LETN1', 'EspiranTo', 'nexa']","['5', '16']",Inferno,ESEA MDL Season 29 Europe Relegation,8280
9-1-19,"['x6tence Galaxy', 'Bååten', 'nawwk', 'BARBARR', 'ZINKEN', 'Plopski']","['Valiance', 'huNter-', 'EspiranTo', 'nexa', 'ottoNd', 'LETN1']","['15', '19']",Dust2,ESEA MDL Season 29 Europe Relegation,8280
9-1-19,"['x6tence Galaxy', 'Plopski', 'BARBARR', 'ZINKEN', 'nawwk', 'Bååten']","['Valiance', 'ottoNd', 'nexa', 'huNter-', 'EspiranTo', 'LETN1']","['16', '3']",Mirage,ESEA MDL Season 29 Europe Relegation,8280
9-1-19,"['Endpoint', 'stan1ey', 'Thomas', 'Luzuh', 'Puls3', 'MiGHTYMAX']","['Izako Boars', 'matty', 'Patitek', 'NEEX', 'tecek', 'nawrot']","['16', '10']",Dust2,ESEA MDL Season 29 Europe Relegation,8279
9-1-19,"['Endpoint', 'Thomas', 'Puls3', 'stan1ey', 'MiGHTYMAX', 'Luzuh']","['Izako Boars', 'nawrot', 'matty', 'Patitek', 'tecek', 'NEEX']","['16', '12']",Overpass,ESEA MDL Season 29 Europe Relegation,8279
9-1-19,"['Endpoint', 'Puls3', 'Thomas', 'MiGHTYMAX', 'Luzuh', 'stan1ey']","['Izako Boars', 'tecek', 'matty', 'Patitek', 'nawrot', 'NEEX']","['16', '6']",Mirage,ESEA MDL Season 29 Europe Relegation,8279
10-1-19,"['AGO', 'phr', 'SZPERO', 'kaper', 'GruBy', 'miNirox']","['Chaos', 'FREDDyFROG', 'djL', 'PlesseN', 'Relaxa', 'minio']","['16', '8']",Overpass,Hunt Wave League,8278
10-1-19,"['AGO', 'kaper', 'phr', 'GruBy', 'SZPERO', 'miNirox']","['Chaos', 'FREDDyFROG', 'PlesseN', 'Relaxa', 'minio', 'djL']","['16', '14']",Cache,Hunt Wave League,8278
