Winner,Team1,Team2,Team1_Score,Team2_Score
Red Reserve,ALTERNATE aTTaX,Red Reserve,12,16
ALTERNATE aTTaX,ALTERNATE aTTaX,Red Reserve,16,14
Red Reserve,Red Reserve,ALTERNATE aTTaX,8,16
Windigo,Windigo,Sprout,9,16
GODSENT,eXtatus,GODSENT,11,16
eXtatus,eXtatus,GODSENT,16,10
eXtatus,eXtatus,GODSENT,9,16
Fragsters,aAa,Fragsters,17,19
Spirit,Spirit,AGO,19,15
Spirit,Spirit,AGO,8,16
Spirit,Spirit,AGO,19,15
Fragsters,SJ,Fragsters,14,16
aAa,DIVIZON,aAa,16,19
Infinity,Infinity,W7M,5,16
Infinity,Infinity,W7M,8,16
No Tenemos Nada,F1-racecar-PEEK,No Tenemos Nada,13,16
CheckSix,HWML,CheckSix,11,16
Swole Patrol,Freedom 35,Swole Patrol,15,19
CheckSix,Ghost Academy,CheckSix,16,6
AZIO,AZIO,eRa,8,16
h00liGaNz,Atmosphere,h00liGaNz,16,5
Final Feature,Final Feature,Complexity,4,16
Rogue,Legacy of Jenume,Rogue,0,16
EHOME,EHOME,5POWER,16,14
EHOME,5POWER,EHOME,17,19
EHOME,Signature,EHOME,11,16
Signature,EHOME,Signature,14,16
Signature,EHOME,Signature,12,16
GoodJob,GoodJob,AVANGAR,9,16
FaZe,FaZe,mousesports,19,16
mousesports,mousesports,FaZe,9,16
Quantum Bellator Fire,Natus Vincere,Quantum Bellator Fire,16,4
Quantum Bellator Fire,Quantum Bellator Fire,Natus Vincere,7,16
G2,G2,Cloud9,8,16
G2,Cloud9,G2,16,7
Rogue,Complexity,Rogue,16,9
Rogue,Rogue,Complexity,4,16
5POWER,Red Wolf,5POWER,11,16
Limitless,Hyper4mance,Limitless,14,16
Limitless,Hyper4mance,Limitless,20,22
GameTV,GameTV,5POWER,2,16
fnatic,SK,fnatic,19,22
SK,fnatic,SK,14,16
SK,SK,fnatic,16,12
Anonymous,Anonymous,RvN,4,16
Anonymous,Anonymous,RvN,3,16
Hyper4mance,Hyper4mance,Anonymous,16,14
Anonymous,Hyper4mance,Anonymous,16,7
RvN,Limitless,RvN,11,16
Limitless,RvN,Limitless,16,8
Natus Vincere,FaZe,Natus Vincere,16,9
Natus Vincere,Natus Vincere,FaZe,7,16
SK,SK,Cloud9,3,16
Cloud9,Cloud9,SK,8,16
SK,Cloud9,SK,16,9
Without Warning,Without Warning,SinnerS,16,11
Without Warning,SinnerS,Without Warning,10,16
Corvidae,Corvidae,ORDER,6,16
5POWER,5POWER,EHOME,8,16
5POWER,EHOME,5POWER,12,16
5POWER,EHOME,5POWER,16,9
Tainted Minds,ORDER,Tainted Minds,12,16
Bpro,ARYO,Bpro,13,16
Bpro,ARYO,Bpro,13,16
AVANGAR,forZe,AVANGAR,11,16
